2019-04-01 18:47:08 status half-installed libisc-export160:amd64 1:9.10.3.dfsg.P4-8ubuntu1.11
2019-04-01 18:47:08 status half-installed libisc-export160:amd64 1:9.10.3.dfsg.P4-8ubuntu1.11
2019-04-01 18:47:08 status unpacked libisc-export160:amd64 1:9.10.3.dfsg.P4-8ubuntu1.12
2019-04-01 18:47:09 status unpacked libisc-export160:amd64 1:9.10.3.dfsg.P4-8ubuntu1.12
2019-04-01 18:47:09 upgrade libdns-export162:amd64 1:9.10.3.dfsg.P4-8ubuntu1.11 1:9.10.3.dfsg.P4-8ubuntu1.12
2019-04-01 18:47:09 status half-configured libdns-export162:amd64 1:9.10.3.dfsg.P4-8ubuntu1.11
2019-04-01 18:47:09 status unpacked libdns-export162:amd64 1:9.10.3.dfsg.P4-8ubuntu1.11
2019-04-01 18:47:09 status half-installed libdns-export162:amd64 1:9.10.3.dfsg.P4-8ubuntu1.11
2019-04-01 18:47:09 status half-installed libdns-export162:amd64 1:9.10.3.dfsg.P4-8ubuntu1.11
2019-04-01 18:47:09 status unpacked libdns-export162:amd64 1:9.10.3.dfsg.P4-8ubuntu1.12
2019-04-01 18:47:09 status unpacked libdns-export162:amd64 1:9.10.3.dfsg.P4-8ubuntu1.12
2019-04-01 18:47:09 upgrade libsqlite3-0:amd64 3.11.0-1ubuntu1 3.11.0-1ubuntu1.1
2019-04-01 18:47:09 status half-configured libsqlite3-0:amd64 3.11.0-1ubuntu1
2019-04-01 18:47:09 status unpacked libsqlite3-0:amd64 3.11.0-1ubuntu1
2019-04-01 18:47:09 status half-installed libsqlite3-0:amd64 3.11.0-1ubuntu1
2019-04-01 18:47:09 status half-installed libsqlite3-0:amd64 3.11.0-1ubuntu1
2019-04-01 18:47:09 status unpacked libsqlite3-0:amd64 3.11.0-1ubuntu1.1
2019-04-01 18:47:09 status unpacked libsqlite3-0:amd64 3.11.0-1ubuntu1.1
2019-04-01 18:47:10 upgrade libssl-doc:all 1.0.2g-1ubuntu4.14 1.0.2g-1ubuntu4.15
2019-04-01 18:47:10 status half-configured libssl-doc:all 1.0.2g-1ubuntu4.14
2019-04-01 18:47:10 status unpacked libssl-doc:all 1.0.2g-1ubuntu4.14
2019-04-01 18:47:10 status half-installed libssl-doc:all 1.0.2g-1ubuntu4.14
2019-04-01 18:47:10 status half-installed libssl-doc:all 1.0.2g-1ubuntu4.14
2019-04-01 18:47:11 status unpacked libssl-doc:all 1.0.2g-1ubuntu4.15
2019-04-01 18:47:11 status unpacked libssl-doc:all 1.0.2g-1ubuntu4.15
2019-04-01 18:47:11 upgrade libssl-dev:amd64 1.0.2g-1ubuntu4.14 1.0.2g-1ubuntu4.15
2019-04-01 18:47:11 status half-configured libssl-dev:amd64 1.0.2g-1ubuntu4.14
2019-04-01 18:47:11 status unpacked libssl-dev:amd64 1.0.2g-1ubuntu4.14
2019-04-01 18:47:11 status half-installed libssl-dev:amd64 1.0.2g-1ubuntu4.14
2019-04-01 18:47:12 status half-installed libssl-dev:amd64 1.0.2g-1ubuntu4.14
2019-04-01 18:47:13 status unpacked libssl-dev:amd64 1.0.2g-1ubuntu4.15
2019-04-01 18:47:13 status unpacked libssl-dev:amd64 1.0.2g-1ubuntu4.15
2019-04-01 18:47:13 upgrade libssl1.0.0:amd64 1.0.2g-1ubuntu4.14 1.0.2g-1ubuntu4.15
2019-04-01 18:47:13 status half-configured libssl1.0.0:amd64 1.0.2g-1ubuntu4.14
2019-04-01 18:47:13 status unpacked libssl1.0.0:amd64 1.0.2g-1ubuntu4.14
2019-04-01 18:47:13 status half-installed libssl1.0.0:amd64 1.0.2g-1ubuntu4.14
2019-04-01 18:47:13 status half-installed libssl1.0.0:amd64 1.0.2g-1ubuntu4.14
2019-04-01 18:47:14 status unpacked libssl1.0.0:amd64 1.0.2g-1ubuntu4.15
2019-04-01 18:47:14 status unpacked libssl1.0.0:amd64 1.0.2g-1ubuntu4.15
2019-04-01 18:47:14 upgrade openssh-sftp-server:amd64 1:7.2p2-4ubuntu2.7 1:7.2p2-4ubuntu2.8
2019-04-01 18:47:14 status half-configured openssh-sftp-server:amd64 1:7.2p2-4ubuntu2.7
2019-04-01 18:47:14 status unpacked openssh-sftp-server:amd64 1:7.2p2-4ubuntu2.7
2019-04-01 18:47:14 status half-installed openssh-sftp-server:amd64 1:7.2p2-4ubuntu2.7
2019-04-01 18:47:14 status half-installed openssh-sftp-server:amd64 1:7.2p2-4ubuntu2.7
2019-04-01 18:47:14 status unpacked openssh-sftp-server:amd64 1:7.2p2-4ubuntu2.8
2019-04-01 18:47:14 status unpacked openssh-sftp-server:amd64 1:7.2p2-4ubuntu2.8
2019-04-01 18:47:14 upgrade openssh-server:amd64 1:7.2p2-4ubuntu2.7 1:7.2p2-4ubuntu2.8
2019-04-01 18:47:14 status half-configured openssh-server:amd64 1:7.2p2-4ubuntu2.7
2019-04-01 18:47:14 status unpacked openssh-server:amd64 1:7.2p2-4ubuntu2.7
2019-04-01 18:47:14 status half-installed openssh-server:amd64 1:7.2p2-4ubuntu2.7
2019-04-01 18:47:14 status triggers-pending systemd:amd64 229-4ubuntu21.16
2019-04-01 18:47:14 status half-installed openssh-server:amd64 1:7.2p2-4ubuntu2.7
2019-04-01 18:47:14 status unpacked openssh-server:amd64 1:7.2p2-4ubuntu2.8
2019-04-01 18:47:15 status unpacked openssh-server:amd64 1:7.2p2-4ubuntu2.8
2019-04-01 18:47:15 upgrade openssh-client:amd64 1:7.2p2-4ubuntu2.7 1:7.2p2-4ubuntu2.8
2019-04-01 18:47:15 status half-configured openssh-client:amd64 1:7.2p2-4ubuntu2.7
2019-04-01 18:47:15 status unpacked openssh-client:amd64 1:7.2p2-4ubuntu2.7
2019-04-01 18:47:15 status half-installed openssh-client:amd64 1:7.2p2-4ubuntu2.7
2019-04-01 18:47:15 status half-installed openssh-client:amd64 1:7.2p2-4ubuntu2.7
2019-04-01 18:47:15 status unpacked openssh-client:amd64 1:7.2p2-4ubuntu2.8
2019-04-01 18:47:15 status unpacked openssh-client:amd64 1:7.2p2-4ubuntu2.8
2019-04-01 18:47:16 upgrade openssl:amd64 1.0.2g-1ubuntu4.14 1.0.2g-1ubuntu4.15
2019-04-01 18:47:16 status half-configured openssl:amd64 1.0.2g-1ubuntu4.14
2019-04-01 18:47:16 status unpacked openssl:amd64 1.0.2g-1ubuntu4.14
2019-04-01 18:47:16 status half-installed openssl:amd64 1.0.2g-1ubuntu4.14
2019-04-01 18:47:16 status half-installed openssl:amd64 1.0.2g-1ubuntu4.14
2019-04-01 18:47:16 status unpacked openssl:amd64 1.0.2g-1ubuntu4.15
2019-04-01 18:47:16 status unpacked openssl:amd64 1.0.2g-1ubuntu4.15
2019-04-01 18:47:16 upgrade binutils:amd64 2.26.1-1ubuntu1~16.04.7 2.26.1-1ubuntu1~16.04.8
2019-04-01 18:47:16 status half-configured binutils:amd64 2.26.1-1ubuntu1~16.04.7
2019-04-01 18:47:16 status unpacked binutils:amd64 2.26.1-1ubuntu1~16.04.7
2019-04-01 18:47:16 status half-installed binutils:amd64 2.26.1-1ubuntu1~16.04.7
2019-04-01 18:47:19 status half-installed binutils:amd64 2.26.1-1ubuntu1~16.04.7
2019-04-01 18:47:19 status unpacked binutils:amd64 2.26.1-1ubuntu1~16.04.8
2019-04-01 18:47:19 status unpacked binutils:amd64 2.26.1-1ubuntu1~16.04.8
2019-04-01 18:47:19 upgrade libtiff5-dev:amd64 4.0.6-1ubuntu0.5 4.0.6-1ubuntu0.6
2019-04-01 18:47:19 status half-configured libtiff5-dev:amd64 4.0.6-1ubuntu0.5
2019-04-01 18:47:20 status unpacked libtiff5-dev:amd64 4.0.6-1ubuntu0.5
2019-04-01 18:47:20 status half-installed libtiff5-dev:amd64 4.0.6-1ubuntu0.5
2019-04-01 18:47:20 status half-installed libtiff5-dev:amd64 4.0.6-1ubuntu0.5
2019-04-01 18:47:20 status unpacked libtiff5-dev:amd64 4.0.6-1ubuntu0.6
2019-04-01 18:47:20 status unpacked libtiff5-dev:amd64 4.0.6-1ubuntu0.6
2019-04-01 18:47:20 upgrade libtiffxx5:amd64 4.0.6-1ubuntu0.5 4.0.6-1ubuntu0.6
2019-04-01 18:47:20 status half-configured libtiffxx5:amd64 4.0.6-1ubuntu0.5
2019-04-01 18:47:20 status unpacked libtiffxx5:amd64 4.0.6-1ubuntu0.5
2019-04-01 18:47:20 status half-installed libtiffxx5:amd64 4.0.6-1ubuntu0.5
